Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C10,C11,C13,C16,C17,C19,C25,C27,C31",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,9
0.47u,C22,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C53134,1
100k,"R22,R31,R32",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,3
10k,"R11,R30,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
10u,C12,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,1
1k,R27,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,1
1u,"C1,C2,C28,C3,C4,C6,C7,C8,C9",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,9
2.2n,"C20,C21",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28260,2
2.2u,"C14,C15",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C377773,2
22k,R25,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560,1
22u,"C30,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,2
33u,C23,CP_EIA-3528-12_Kemet-T_HandSolder,C7202,1
4.7k,"R1,R10,R3,R9",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17673,4
4.7u,"C24,C26",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779,2
470,"R16,R17",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17710,2
47k,"R2,R26,R4,R5,R6",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,5
5.1k,"R23,R24",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
AudioJack3,J1,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,C4991872,1
CP2102C-Axx-xQFN24,U5,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,C43119339,1
FILTER_MODE,SW2,SW_SPDT_Shouhan_MSK12C02,C431540,1
LM3940IMPX-3.3_NOPB,U4,SOT230P700X180-4N,C544820,1
MAX97220AETE_T,U3,QFN50P300X300X80-17N,C2682711,1
ON/OFF,SW4,SW_SPDT_Shouhan_MSK12C02,C431540,1
PCM5102,U1,TSSOP-20_4.4x6.5mm_P0.65mm,C107671,1
S8050,"Q1,Q2",SOT-23,C2146,2
SOFT_MUTE,SW3,SW_SPDT_Shouhan_MSK12C02,C431540,1
SP0503BAHT,D1,SOT-143,C7074,1
USB_C_Receptacle_USB2.0_16P,J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5337088,1
