Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.612500,-63.250000,0.000000,top
C2,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.650000,-68.000000,0.000000,top
C3,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.612500,-70.000000,0.000000,top
C4,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,114.612500,-76.500000,0.000000,top
C5,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,82.400000,-52.537500,90.000000,top
C6,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,134.940000,-79.052500,-90.000000,top
C7,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.900000,-77.000000,-90.000000,top
C8,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,132.190000,-74.000000,0.000000,top
C9,1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,138.400000,-79.037500,-90.000000,top
C10,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.400000,-73.212500,90.000000,top
C11,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,84.400000,-52.537500,90.000000,top
C12,10u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,106.537500,-80.537500,90.000000,top
C13,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,107.450000,-90.700000,0.000000,top
C14,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.325000,-89.825000,0.000000,top
C15,2.2u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.325000,-87.825000,0.000000,top
C16,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,101.162500,-90.450000,0.000000,top
C17,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,99.787500,-88.450000,180.000000,top
C19,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,108.537500,-80.537500,90.000000,top
C20,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.662500,-85.250000,0.000000,top
C21,2.2n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.612500,-83.250000,0.000000,top
C22,0.47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,59.900000,-67.012500,-90.000000,top
