Comment,Designator,Footprint,LCSC,Quantity
0.1u,"C11,C17,C19,C21,C25,C27,C31",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C49678,7
0.47u,C22,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C53134,1
100k,"R14,R15,R16",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C149504,3
10k,"R11,R30,R7,R8",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17414,4
10uF,"C12,C18,C20",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C15850,3
120,"R12,R13",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17437,2
1k,R27,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17513,1
1nF,"C14,C16",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C46653,2
1uF,"C13,C15",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C28323,2
22k,R25,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17560,1
22u,"C30,C5",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C45783,2
33u,C23,CP_EIA-3528-12_Kemet-T_HandSolder,C7202,1
4.7u,"C24,C26",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C1779,2
47k,R26,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17713,1
5.1k,"R23,R24",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C27834,2
AudioJack3,J2,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,C4991872,1
CP2102C-Axx-xQFN24,U5,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,C43119339,1
LM3940IMPX-3.3_NOPB,U4,SOT230P700X180-4N,C544820,1
ON/OFF,SW4,SW_SPDT_Shouhan_MSK12C02,C431540,1
PCM1808PWG4,U1,SOP65P640X120-14N,C55513,1
S8050,"Q1,Q2",SOT-23,C2146,2
SP0503BAHT,D1,SOT-143,C7074,1
USB_C_Receptacle_USB2.0_16P,J6,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C5337088,1
