Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C5,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,89.002500,-53.485000,90.000000,top
C11,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.002500,-53.447500,90.000000,top
C12,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,117.500000,-79.750000,90.000000,top
C13,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.287500,-89.175000,0.000000,top
C14,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.437500,-91.750000,0.000000,top
C15,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,130.287500,-80.925000,0.000000,top
C16,1nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,126.637500,-78.350000,0.000000,top
C17,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,119.500000,-79.750000,90.000000,top
C18,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.500000,-82.712500,90.000000,top
C19,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.537500,-82.712500,90.000000,top
C20,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,113.500000,-86.537500,-90.000000,top
C21,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,115.500000,-86.537500,-90.000000,top
C22,0.47u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,62.802500,-66.797500,-90.000000,top
C23,33u,CP_EIA-3528-12_Kemet-T_HandSolder,68.302500,-67.585000,-90.000000,top
C24,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.040000,-83.485000,180.000000,top
C25,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,77.040000,-81.485000,180.000000,top
C26,4.7u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.790000,-77.297500,180.000000,top
C27,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,79.790000,-79.287500,180.000000,top
C30,22u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,64.802500,-66.797500,-90.000000,top
C31,0.1u,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,91.290000,-75.985000,0.000000,top
D1,SP0503BAHT,SOT-143,81.752500,-49.635000,90.000000,top
J2,AudioJack3,Jack_3.5mm_CUI_SJ-3523-SMT_Horizontal,141.287500,-84.800000,-90.000000,top
J6,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,81.752500,-42.985000,180.000000,top
Q1,S8050,SOT-23,89.252500,-79.485000,0.000000,top
Q2,S8050,SOT-23,89.252500,-85.135000,0.000000,top
R7,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,86.252500,-79.485000,90.000000,top
R8,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,73.502500,-75.985000,0.000000,top
R11,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,86.252500,-85.235000,-90.000000,top
R12,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.537500,-89.175000,0.000000,top
R13,120,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.537500,-80.925000,0.000000,top
R14,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.537500,-82.925000,0.000000,top
R15,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.537500,-87.050000,0.000000,top
R16,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,126.537500,-85.050000,0.000000,top
R23,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,88.252500,-45.985000,90.000000,top
R24,5.1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,75.252500,-45.985000,90.000000,top
R25,22k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,75.002500,-87.735000,90.000000,top
R26,47k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,77.502500,-87.735000,-90.000000,top
R27,1k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,79.502500,-87.735000,-90.000000,top
R30,10k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,92.302500,-79.235000,-90.000000,top
SW4,ON/OFF,SW_SPDT_Shouhan_MSK12C02,62.302500,-43.435000,-90.000000,top
U1,PCM1808PWG4,SOP65P640X120-14N,120.537500,-84.550000,0.000000,top
U4,LM3940IMPX-3.3_NOPB,SOT230P700X180-4N,64.802500,-60.585000,90.000000,top
U5,CP2102C-Axx-xQFN24,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm,82.252500,-82.985000,-90.000000,top
